Watching for file changes with StatReloader
Watching for file changes with StatReloader
Listen failure: Couldn't listen on 0.0.0.0:8000: [Errno 98] Address already in use.
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36982]
HTTP GET /draft/draft/101 200 [0.05, 10.51.30.114:36938]
HTTP POST /draft/draft/101 200 [0.01, 10.51.30.114:36989]
HTTP GET /draft/draft/101 200 [0.02, 10.51.30.114:36989]
HTTP GET /draft/draft/101 200 [0.03, 10.51.30.114:36938]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.02, 10.51.30.114:36982]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36992]
HTTP POST /draft/draft/101 200 [0.01, 10.51.30.114:36938]
HTTP GET /draft/draft/101 200 [0.03, 10.51.30.114:36992]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36989]
HTTP GET /draft/draft/101 200 [0.04, 10.51.30.114:36938]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.04, 10.51.30.114:36982]
HTTP POST /draft/draft/101 200 [0.02, 10.51.30.114:36938]
HTTP GET /draft/draft/101 200 [0.02, 10.51.30.114:36989]
HTTP GET /draft/draft/101 200 [0.02, 10.51.30.114:36938]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.02, 10.51.30.114:36992]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36982]
HTTP POST /draft/draft/101 200 [0.01, 10.51.30.114:36992]
HTTP GET /draft/draft/101 200 [0.03, 10.51.30.114:36992]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36989]
HTTP GET /draft/draft/101 200 [0.04, 10.51.30.114:36938]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.04, 10.51.30.114:36982]
HTTP POST /draft/draft/101 200 [0.01, 10.51.30.114:36989]
HTTP GET /draft/draft/101 200 [0.03, 10.51.30.114:36989]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36992]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36982]
HTTP GET /draft/draft/101 200 [0.06, 10.51.30.114:36938]
HTTP POST /draft/draft/101 200 [0.01, 10.51.30.114:36938]
HTTP GET /draft/draft/101 200 [0.03, 10.51.30.114:36938]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36989]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36982]
HTTP GET /draft/draft/101 200 [0.06, 10.51.30.114:36992]
HTTP POST /draft/draft/101 200 [0.01, 10.51.30.114:36992]
HTTP GET /draft/draft/101 200 [0.03, 10.51.30.114:36992]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36982]
HTTP GET /draft/draft/101 200 [0.04, 10.51.30.114:36938]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.04, 10.51.30.114:36989]
HTTP POST /draft/draft/101 200 [0.01, 10.51.30.114:36938]
HTTP GET /draft/draft/101 200 [0.01, 10.51.30.114:36989]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.01, 10.51.30.114:36992]
HTTP GET /draft/draft/101 200 [0.02, 10.51.30.114:36938]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36982]
HTTP POST /draft/draft/101 200 [0.01, 10.51.30.114:36992]
HTTP GET /draft/draft/101 200 [0.02, 10.51.30.114:36992]
HTTP GET /draft/draft/101 200 [0.03, 10.51.30.114:36938]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.02, 10.51.30.114:36989]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.04, 10.51.30.114:36982]
HTTP POST /draft/draft/101 200 [0.01, 10.51.30.114:36938]
HTTP GET /draft/draft/101 200 [0.02, 10.51.30.114:36989]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.02, 10.51.30.114:36992]
HTTP GET /draft/draft/101 200 [0.02, 10.51.30.114:36938]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36982]
HTTP POST /draft/draft/101 200 [0.01, 10.51.30.114:36938]
HTTP GET /draft/draft/101 200 [0.03, 10.51.30.114:36938]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36989]
HTTP GET /draft/draft/101 200 [0.04, 10.51.30.114:36992]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.05, 10.51.30.114:36982]
HTTP POST /draft/draft/101 200 [0.01, 10.51.30.114:36992]
HTTP GET /draft/draft/101 200 [0.02, 10.51.30.114:36938]
HTTP GET /draft/draft/101 200 [0.02, 10.51.30.114:36992]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36982]
HTTP GET /assets/img/laneicons.png 200 [0.00, 10.51.30.114:36938]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.03, 10.51.30.114:36989]
HTTP POST /draft/lane/101 200 [0.01, 10.51.30.114:36989]
HTTP GET /draft/draft/101 200 [0.02, 10.51.30.114:36989]
HTTP GET /draft/draft/101 200 [0.04, 10.51.30.114:36938]
HTTP POST /draft/lane/101 200 [0.01, 10.51.30.114:36938]
HTTP GET /draft/draft/101 200 [0.01, 10.51.30.114:36989]
HTTP GET /draft/draft/101 200 [0.01, 10.51.30.114:36938]
WebSocket DISCONNECT /ws/draft/101/ [10.51.30.114:36997]
WebSocket DISCONNECT /ws/draft/101/ [10.51.30.114:36981]
HTTP POST /draft/entry/101 302 [0.01, 10.51.30.114:37166]
HTTP GET /draft/room/101 200 [0.02, 10.51.30.114:37166]
WebSocket HANDSHAKING /ws/draft/101/ [10.51.30.114:37182]
WebSocket CONNECT /ws/draft/101/ [10.51.30.114:37182]
HTTP GET /draft/draft/101 200 [0.01, 10.51.30.114:37166]
HTTP GET /draft/champion?lane=&name=&draft=101 200 [0.01, 10.51.30.114:37183]
